Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD
multiplexes,2,2,2,2,0.04,0.4771,0.02,0.4771
multiplication,14,13,14,13,0.27,1.1761,0.15,1.1461
multiplicities,1,1,1,1,0.02,0.301,0.01,0.301
multiplicity,4,4,4,4,0.08,0.699,0.05,0.699
multiplied,25,22,25,22,0.49,1.415,0.26,1.3617
multiplies,11,8,11,8,0.22,1.0792,0.1,0.9542
multiply,99,80,78,66,1.94,2,0.95,1.9085
multiplying,30,28,27,25,0.59,1.4914,0.33,1.4624
multiprocessing,1,1,1,1,0.02,0.301,0.01,0.301
multiprocessor,1,1,1,1,0.02,0.301,0.01,0.301
multipurpose,3,3,3,3,0.06,0.6021,0.04,0.6021
multispecies,1,1,1,1,0.02,0.301,0.01,0.301
Multistage,1,1,0,0,0.02,0.301,0.01,0.301
multistory,1,1,1,1,0.02,0.301,0.01,0.301
multisystem,1,1,1,1,0.02,0.301,0.01,0.301
multitask,10,8,9,7,0.2,1.0414,0.1,0.9542
multitasking,10,9,10,9,0.2,1.0414,0.11,1
multitude,29,25,29,25,0.57,1.4771,0.3,1.415
multitudes,8,7,8,7,0.16,0.9542,0.08,0.9031
multitudinous,3,3,2,2,0.06,0.6021,0.04,0.6021
multiverse,1,1,1,1,0.02,0.301,0.01,0.301
multivitamin,6,6,6,6,0.12,0.8451,0.07,0.8451
multivitamins,1,1,1,1,0.02,0.301,0.01,0.301
multivolume,1,1,1,1,0.02,0.301,0.01,0.301
Mum,1108,312,491,212,21.73,3.0449,3.72,2.4955
mumble,40,34,35,32,0.78,1.6128,0.41,1.5441
mumbled,6,6,6,6,0.12,0.8451,0.07,0.8451
Mumbler,1,1,0,0,0.02,0.301,0.01,0.301
Mumbles,51,35,24,19,1,1.716,0.42,1.5563
mumbling,119,103,98,87,2.33,2.0792,1.23,2.017
mumblings,3,2,2,2,0.06,0.6021,0.02,0.4771
mumbo,59,48,47,40,1.16,1.7782,0.57,1.6902
Mumm,5,3,0,0,0.1,0.7782,0.04,0.6021
mummer,1,1,1,1,0.02,0.301,0.01,0.301
mummers,2,2,1,1,0.04,0.4771,0.02,0.4771
mummery,2,2,2,2,0.04,0.4771,0.02,0.4771
mummies,37,26,30,22,0.73,1.5798,0.31,1.4314
mummification,5,5,5,5,0.1,0.7782,0.06,0.7782
mummified,14,9,14,9,0.27,1.1761,0.11,1
mummify,4,4,4,4,0.08,0.699,0.05,0.699
mumming,2,2,1,1,0.04,0.4771,0.02,0.4771
Mumms,1,1,0,0,0.02,0.301,0.01,0.301
Mummy,500,166,230,90,9.8,2.6998,1.98,2.2227
Mump,1,1,0,0,0.02,0.301,0.01,0.301
mumped,1,1,1,1,0.02,0.301,0.01,0.301
mumps,60,36,54,33,1.18,1.7853,0.43,1.5682
mums,15,12,12,11,0.29,1.2041,0.14,1.1139
Mumsy,12,6,0,0,0.24,1.1139,0.07,0.8451
Mun,33,6,0,0,0.65,1.5315,0.07,0.8451
munch,43,36,32,27,0.84,1.6435,0.43,1.5682
Munchausen,2,2,0,0,0.04,0.4771,0.02,0.4771
munched,8,8,8,8,0.16,0.9542,0.1,0.9542
muncher,3,3,3,3,0.06,0.6021,0.04,0.6021
munchers,4,3,2,2,0.08,0.699,0.04,0.6021
Munches,1,1,0,0,0.02,0.301,0.01,0.301
munchies,32,31,29,28,0.63,1.5185,0.37,1.5051
munching,14,13,13,12,0.27,1.1761,0.15,1.1461
munchkin,41,33,26,24,0.8,1.6232,0.39,1.5315
Munchkins,34,13,9,9,0.67,1.5441,0.15,1.1461
Munchy,1,1,0,0,0.02,0.301,0.01,0.301
Mund,2,2,0,0,0.04,0.4771,0.02,0.4771
mundane,41,38,41,38,0.8,1.6232,0.45,1.5911
mung,11,8,7,5,0.22,1.0792,0.1,0.9542
Munger,17,8,0,0,0.33,1.2553,0.1,0.9542
Mungo,5,2,0,0,0.1,0.7782,0.02,0.4771
Munich,104,54,0,0,2.04,2.0212,0.64,1.7404
municipal,90,68,56,47,1.76,1.959,0.81,1.8388
municipality,10,9,8,8,0.2,1.0414,0.11,1
municipals,1,1,1,1,0.02,0.301,0.01,0.301
munificence,1,1,1,1,0.02,0.301,0.01,0.301
munition,8,7,8,7,0.16,0.9542,0.08,0.9031
munitions,64,53,50,46,1.25,1.8129,0.63,1.7324
Muns,1,1,0,0,0.02,0.301,0.01,0.301
Munster,21,15,1,1,0.41,1.3424,0.18,1.2041
Munsters,6,5,2,2,0.12,0.8451,0.06,0.7782
Muntz,19,4,0,0,0.37,1.301,0.05,0.699
muon,1,1,1,1,0.02,0.301,0.01,0.301
Mura,1,1,0,0,0.02,0.301,0.01,0.301
mural,52,34,51,34,1.02,1.7243,0.41,1.5441
muralist,1,1,1,1,0.02,0.301,0.01,0.301
murals,18,11,18,11,0.35,1.2788,0.13,1.0792
murder,5717,2046,5277,1977,112.1,3.7572,24.39,3.3111
murdered,1967,1134,1850,1110,38.57,3.294,13.52,3.055
murderer,1355,729,1263,688,26.57,3.1323,8.69,2.8633
murderers,301,231,252,207,5.9,2.48,2.75,2.3655
murderess,37,25,35,25,0.73,1.5798,0.3,1.415
murderesses,1,1,1,1,0.02,0.301,0.01,0.301
murdering,241,214,231,207,4.73,2.3838,2.55,2.3324
murderous,93,84,91,83,1.82,1.9731,1,1.9294
murderously,2,2,2,2,0.04,0.4771,0.02,0.4771
murders,747,414,723,403,14.65,2.8739,4.94,2.618
murine,1,1,1,1,0.02,0.301,0.01,0.301
murk,5,3,4,2,0.1,0.7782,0.04,0.6021
murkier,4,3,4,3,0.08,0.699,0.04,0.6021
murkiest,1,1,1,1,0.02,0.301,0.01,0.301
murky,31,28,31,28,0.61,1.5051,0.33,1.4624
murmur,48,38,47,37,0.94,1.6902,0.45,1.5911
murmured,3,3,3,3,0.06,0.6021,0.04,0.6021
murmuring,88,61,54,39,1.73,1.9494,0.73,1.7924
murmurings,2,2,2,2,0.04,0.4771,0.02,0.4771
murmurs,32,24,27,19,0.63,1.5185,0.29,1.3979
Murphies,1,1,0,0,0.02,0.301,0.01,0.301
Murphy,721,197,3,3,14.14,2.8585,2.35,2.2967
Murr,1,1,0,0,0.02,0.301,0.01,0.301
Murray,561,153,0,0,11,2.7497,1.82,2.1875
murres,1,1,1,1,0.02,0.301,0.01,0.301
Murry,6,3,0,0,0.12,0.8451,0.04,0.6021
Mus,14,6,5,4,0.27,1.1761,0.07,0.8451
Muscat,1,1,0,0,0.02,0.301,0.01,0.301
muscatel,9,8,6,6,0.18,1,0.1,0.9542
Muscatels,1,1,0,0,0.02,0.301,0.01,0.301
Muscats,1,1,0,0,0.02,0.301,0.01,0.301
muscle,694,528,657,503,13.61,2.842,6.29,2.7235
musclebound,1,1,1,1,0.02,0.301,0.01,0.301
muscled,8,8,7,7,0.16,0.9542,0.1,0.9542
muscleman,5,5,4,4,0.1,0.7782,0.06,0.7782
Musclemen,1,1,0,0,0.02,0.301,0.01,0.301
muscles,385,309,372,301,7.55,2.5866,3.68,2.4914
muscling,10,9,10,9,0.2,1.0414,0.11,1
muscly,2,2,2,2,0.04,0.4771,0.02,0.4771
Muscovite,1,1,0,0,0.02,0.301,0.01,0.301
muscular,79,69,76,67,1.55,1.9031,0.82,1.8451
muscularity,1,1,1,1,0.02,0.301,0.01,0.301
musculature,17,16,16,15,0.33,1.2553,0.19,1.2304
muse,98,58,91,55,1.92,1.9956,0.69,1.7709
mused,4,4,4,4,0.08,0.699,0.05,0.699
muses,23,11,14,7,0.45,1.3802,0.13,1.0792
musette,1,1,1,1,0.02,0.301,0.01,0.301
museum,942,459,705,356,18.47,2.9745,5.47,2.6628
museums,109,89,101,86,2.14,2.0414,1.06,1.9542
mush,143,92,89,73,2.8,2.1584,1.1,1.9685
mushed,6,6,6,6,0.12,0.8451,0.07,0.8451
musher,11,2,7,2,0.22,1.0792,0.02,0.4771
mushers,3,3,3,3,0.06,0.6021,0.04,0.6021
mushier,3,3,2,2,0.06,0.6021,0.04,0.6021
mushing,8,7,7,6,0.16,0.9542,0.08,0.9031
mushroom,109,83,95,77,2.14,2.0414,0.99,1.9243
mushroomed,3,3,3,3,0.06,0.6021,0.04,0.6021
mushrooming,2,2,2,2,0.04,0.4771,0.02,0.4771
mushrooms,145,94,133,87,2.84,2.1644,1.12,1.9777
mushy,77,71,75,69,1.51,1.8921,0.85,1.8573
music,7734,2699,6912,2508,151.65,3.8885,32.18,3.4314
musica,1,1,1,1,0.02,0.301,0.01,0.301
musical,671,421,642,403,13.16,2.8274,5.02,2.6253
musicale,8,3,8,3,0.16,0.9542,0.04,0.6021
musicales,2,1,2,1,0.04,0.4771,0.01,0.301
musicality,1,1,1,1,0.02,0.301,0.01,0.301
musically,24,17,22,16,0.47,1.3979,0.2,1.2553
musicals,62,45,59,45,1.22,1.7993,0.54,1.6628
musician,308,208,294,202,6.04,2.49,2.48,2.3201
musicians,191,141,176,130,3.75,2.2833,1.68,2.1523
musicianship,1,1,1,1,0.02,0.301,0.01,0.301
musicologist,1,1,1,1,0.02,0.301,0.01,0.301
musicologists,2,2,1,1,0.04,0.4771,0.02,0.4771
Musicology,1,1,0,0,0.02,0.301,0.01,0.301
Musics,1,1,0,0,0.02,0.301,0.01,0.301
musing,11,10,11,10,0.22,1.0792,0.12,1.0414
musings,7,7,5,5,0.14,0.9031,0.08,0.9031
musk,27,23,22,19,0.53,1.4472,0.27,1.3802
musket,50,23,31,21,0.98,1.7076,0.27,1.3802
musketeer,22,5,18,4,0.43,1.3617,0.06,0.7782
musketeers,86,32,48,13,1.69,1.9395,0.38,1.5185
musketry,1,1,1,1,0.02,0.301,0.01,0.301
muskets,20,15,18,14,0.39,1.3222,0.18,1.2041
Muskie,27,6,0,0,0.53,1.4472,0.07,0.8451
Muskies,4,2,1,1,0.08,0.699,0.02,0.4771
Muskogee,3,2,0,0,0.06,0.6021,0.02,0.4771
muskrat,28,10,17,7,0.55,1.4624,0.12,1.0414
Muskrats,5,4,1,1,0.1,0.7782,0.05,0.699
musky,7,7,6,6,0.14,0.9031,0.08,0.9031
Muslim,121,68,15,7,2.37,2.0864,0.81,1.8388
Muslims,90,42,24,4,1.76,1.959,0.5,1.6335
muslin,6,6,6,6,0.12,0.8451,0.07,0.8451
muslins,1,1,1,1,0.02,0.301,0.01,0.301
muss,31,29,29,27,0.61,1.5051,0.35,1.4771
mussed,16,13,16,13,0.31,1.2304,0.15,1.1461
mussel,14,8,10,7,0.27,1.1761,0.1,0.9542
mussels,29,16,28,15,0.57,1.4771,0.19,1.2304
musses,1,1,1,1,0.02,0.301,0.01,0.301
mussing,5,5,5,5,0.1,0.7782,0.06,0.7782
Mussolini,59,45,0,0,1.16,1.7782,0.54,1.6628
mussy,1,1,1,1,0.02,0.301,0.01,0.301
must,35661,7154,33334,6989,699.24,4.5522,85.29,3.8546
mustache,252,177,251,176,4.94,2.4031,2.11,2.2504
Mustached,1,1,0,0,0.02,0.301,0.01,0.301
mustaches,18,17,18,17,0.35,1.2788,0.2,1.2553
mustachio,1,1,1,1,0.02,0.301,0.01,0.301
mustachioed,5,5,5,5,0.1,0.7782,0.06,0.7782
Mustang,175,99,27,11,3.43,2.2455,1.18,2
Mustangs,37,14,11,4,0.73,1.5798,0.17,1.1761
mustard,329,227,256,200,6.45,2.5185,2.71,2.3579
mustards,2,2,2,2,0.04,0.4771,0.02,0.4771
muster,76,70,65,61,1.49,1.8865,0.83,1.8513
mustered,19,14,18,13,0.37,1.301,0.17,1.1761
mustering,3,3,3,3,0.06,0.6021,0.04,0.6021
musters,1,1,1,1,0.02,0.301,0.01,0.301
mustnt,2,1,2,1,0.04,0.4771,0.01,0.301
musts,1,1,1,1,0.02,0.301,0.01,0.301
musty,25,22,21,19,0.49,1.415,0.26,1.3617
mutable,3,3,2,2,0.06,0.6021,0.04,0.6021
mutagen,1,1,1,1,0.02,0.301,0.01,0.301
mutagenesis,1,1,1,1,0.02,0.301,0.01,0.301
mutant,183,76,144,68,3.59,2.2648,0.91,1.8865
mutants,114,27,104,27,2.24,2.0607,0.32,1.4472
mutate,24,21,23,21,0.47,1.3979,0.25,1.3424
mutated,35,31,35,31,0.69,1.5563,0.37,1.5051
mutates,4,4,4,4,0.08,0.699,0.05,0.699
mutating,14,14,13,13,0.27,1.1761,0.17,1.1761
mutation,88,52,85,50,1.73,1.9494,0.62,1.7243
mutations,44,29,42,28,0.86,1.6532,0.35,1.4771
mutative,1,1,1,1,0.02,0.301,0.01,0.301
mute,127,94,115,87,2.49,2.1072,1.12,1.9777
muted,20,18,16,16,0.39,1.3222,0.21,1.2788
mutely,2,2,2,2,0.04,0.4771,0.02,0.4771
mutes,4,4,4,4,0.08,0.699,0.05,0.699
Muth,1,1,0,0,0.02,0.301,0.01,0.301
mutilate,29,26,27,25,0.57,1.4771,0.31,1.4314
mutilated,65,53,61,51,1.27,1.8195,0.63,1.7324
mutilates,4,4,4,4,0.08,0.699,0.05,0.699
mutilating,10,10,8,8,0.2,1.0414,0.12,1.0414
mutilation,48,34,44,31,0.94,1.6902,0.41,1.5441
mutilations,13,11,12,11,0.25,1.1461,0.13,1.0792
Mutilator,6,4,1,1,0.12,0.8451,0.05,0.699
mutine,1,1,1,1,0.02,0.301,0.01,0.301
mutineer,8,4,8,4,0.16,0.9542,0.05,0.699
mutineers,4,4,4,4,0.08,0.699,0.05,0.699
Muting,1,1,0,0,0.02,0.301,0.01,0.301
mutinied,2,2,2,2,0.04,0.4771,0.02,0.4771
mutinies,6,5,6,5,0.12,0.8451,0.06,0.7782
mutinous,7,7,6,6,0.14,0.9031,0.08,0.9031
mutiny,126,74,116,70,2.47,2.1038,0.88,1.8751
mutinying,2,2,2,2,0.04,0.4771,0.02,0.4771
mutism,4,3,4,3,0.08,0.699,0.04,0.6021
mutt,202,126,174,116,3.96,2.3075,1.5,2.1038
mutter,22,17,15,14,0.43,1.3617,0.2,1.2553
muttered,12,12,11,11,0.24,1.1139,0.14,1.1139
muttering,88,75,72,60,1.73,1.9494,0.89,1.8808
mutterings,7,7,6,6,0.14,0.9031,0.08,0.9031
mutters,35,27,20,14,0.69,1.5563,0.32,1.4472
mutton,40,27,36,24,0.78,1.6128,0.32,1.4472
muttonchops,1,1,1,1,0.02,0.301,0.01,0.301
Muttonhead,1,1,0,0,0.02,0.301,0.01,0.301
muttons,2,2,2,2,0.04,0.4771,0.02,0.4771
mutts,26,25,25,24,0.51,1.4314,0.3,1.415
mutual,368,320,323,291,7.22,2.567,3.81,2.5065
mutuality,3,3,3,3,0.06,0.6021,0.04,0.6021
mutually,54,53,52,51,1.06,1.7404,0.63,1.7324
mutuals,2,2,2,2,0.04,0.4771,0.02,0.4771
mutuel,3,2,3,2,0.06,0.6021,0.02,0.4771
muumuu,15,14,15,14,0.29,1.2041,0.17,1.1761
muumuus,5,5,4,4,0.1,0.7782,0.06,0.7782
Muzak,9,8,1,1,0.18,1,0.1,0.9542
muzhik,1,1,1,1,0.02,0.301,0.01,0.301
Muzz,1,1,0,0,0.02,0.301,0.01,0.301
muzzle,81,71,75,66,1.59,1.9138,0.85,1.8573
muzzled,6,5,6,5,0.12,0.8451,0.06,0.7782
muzzler,2,2,2,2,0.04,0.4771,0.02,0.4771
muzzlers,1,1,1,1,0.02,0.301,0.01,0.301
muzzles,4,4,4,4,0.08,0.699,0.05,0.699
muzzling,1,1,1,1,0.02,0.301,0.01,0.301
muzzy,3,3,3,3,0.06,0.6021,0.04,0.6021
my,344899,8349,291721,8340,6762.73,5.5377,99.54,3.9217
Mycenaean,2,2,0,0,0.04,0.4771,0.02,0.4771
mycologist,1,1,1,1,0.02,0.301,0.01,0.301
mycoplasma,1,1,1,1,0.02,0.301,0.01,0.301
mydriasis,1,1,1,1,0.02,0.301,0.01,0.301
myelin,13,2,12,2,0.25,1.1461,0.02,0.4771
myelitis,1,1,1,1,0.02,0.301,0.01,0.301
myelogenous,1,1,1,1,0.02,0.301,0.01,0.301
myeloid,3,2,2,1,0.06,0.6021,0.02,0.4771
myeloma,1,1,1,1,0.02,0.301,0.01,0.301
mylar,5,4,3,3,0.1,0.7782,0.05,0.699
mynah,20,8,17,8,0.39,1.3222,0.1,0.9542
Mynheer,7,2,0,0,0.14,0.9031,0.02,0.4771
myocardial,15,14,12,11,0.29,1.2041,0.17,1.1761
myocarditis,1,1,1,1,0.02,0.301,0.01,0.301
myocardium,4,4,4,4,0.08,0.699,0.05,0.699
myoglobin,1,1,1,1,0.02,0.301,0.01,0.301
myoglobinuria,1,1,1,1,0.02,0.301,0.01,0.301
myopathy,1,1,1,1,0.02,0.301,0.01,0.301
myopia,9,8,8,8,0.18,1,0.1,0.9542
myopic,13,12,12,12,0.25,1.1461,0.14,1.1139
myriad,28,24,28,24,0.55,1.4624,0.29,1.3979
myriads,1,1,1,1,0.02,0.301,0.01,0.301
myristate,1,1,1,1,0.02,0.301,0.01,0.301
Myrmidon,1,1,0,0,0.02,0.301,0.01,0.301
Myrmidons,6,3,1,1,0.12,0.8451,0.04,0.6021
Myron,28,15,0,0,0.55,1.4624,0.18,1.2041
myrrh,13,11,9,8,0.25,1.1461,0.13,1.0792
Myrt,8,4,0,0,0.16,0.9542,0.05,0.699
Myrtle,163,35,2,2,3.2,2.2148,0.42,1.5563
mysel,2,2,2,2,0.04,0.4771,0.02,0.4771
myself,17470,6328,17347,6313,342.55,4.2423,75.44,3.8013
mysophilia,1,1,1,1,0.02,0.301,0.01,0.301
Myst,1,1,0,0,0.02,0.301,0.01,0.301
mysteries,165,148,151,138,3.24,2.2201,1.76,2.1732
mysterious,765,612,722,591,15,2.8842,7.3,2.7875
mysteriously,87,83,86,82,1.71,1.9445,0.99,1.9243
mysteriousness,4,4,4,4,0.08,0.699,0.05,0.699
mystery,1171,837,1094,802,22.96,3.0689,9.98,2.9232
mystic,74,48,42,33,1.45,1.8751,0.57,1.6902
mystical,144,106,138,101,2.82,2.1614,1.26,2.0294
mystically,2,2,2,2,0.04,0.4771,0.02,0.4771
mysticism,22,20,21,19,0.43,1.3617,0.24,1.3222
mystics,27,13,20,12,0.53,1.4472,0.15,1.1461
mystification,3,2,3,2,0.06,0.6021,0.02,0.4771
mystified,26,23,24,23,0.51,1.4314,0.27,1.3802
mystifies,1,1,1,1,0.02,0.301,0.01,0.301
mystify,7,6,7,6,0.14,0.9031,0.07,0.8451
mystifying,15,11,12,9,0.29,1.2041,0.13,1.0792
Mystique,179,66,28,20,3.51,2.2553,0.79,1.8261
myth,352,250,341,246,6.9,2.5478,2.98,2.3997
mythic,19,19,19,19,0.37,1.301,0.23,1.301
mythical,45,38,43,36,0.88,1.6628,0.45,1.5911
mythmaking,1,1,1,1,0.02,0.301,0.01,0.301
mythological,19,19,19,19,0.37,1.301,0.23,1.301
mythologies,6,5,6,5,0.12,0.8451,0.06,0.7782
mythology,101,75,92,70,1.98,2.0086,0.89,1.8808
mythomaniac,1,1,1,1,0.02,0.301,0.01,0.301
mythos,1,1,1,1,0.02,0.301,0.01,0.301
myths,63,49,61,48,1.24,1.8062,0.58,1.699
myxedema,1,1,1,1,0.02,0.301,0.01,0.301
Mzee,2,1,0,0,0.04,0.4771,0.01,0.301
n,2810,1082,1613,626,55.1,3.4489,12.9,3.0346
na,253,66,191,33,4.96,2.4048,0.79,1.8261
Naa,7,6,1,1,0.14,0.9031,0.07,0.8451
Naam,93,3,5,2,1.82,1.9731,0.04,0.6021
Naan,8,2,2,2,0.16,0.9542,0.02,0.4771
nab,34,29,34,29,0.67,1.5441,0.35,1.4771
nabbed,35,32,34,32,0.69,1.5563,0.38,1.5185
Nabbing,3,3,1,1,0.06,0.6021,0.04,0.6021
Nable,11,2,3,1,0.22,1.0792,0.02,0.4771
nabob,1,1,1,1,0.02,0.301,0.01,0.301
nabobs,4,4,4,4,0.08,0.699,0.05,0.699
nabs,7,7,7,7,0.14,0.9031,0.08,0.9031
nacelle,7,5,7,5,0.14,0.9031,0.06,0.7782
nacelles,6,6,4,4,0.12,0.8451,0.07,0.8451
nach,7,3,6,3,0.14,0.9031,0.04,0.6021
Nacho,67,18,10,7,1.31,1.8325,0.21,1.2788
nachos,37,33,31,28,0.73,1.5798,0.39,1.5315
Nad,4,1,0,0,0.08,0.699,0.01,0.301
Nada,130,115,63,54,2.55,2.1173,1.37,2.0645
Nadir,15,4,2,2,0.29,1.2041,0.05,0.699
Nae,1,1,0,0,0.02,0.301,0.01,0.301
naf,1,1,1,1,0.02,0.301,0.01,0.301
Naff,1,1,0,0,0.02,0.301,0.01,0.301
nag,111,63,97,61,2.18,2.0492,0.75,1.8062
Naga,7,4,0,0,0.14,0.9031,0.05,0.699
Nagara,1,1,0,0,0.02,0.301,0.01,0.301
Nagasaki,9,7,0,0,0.18,1,0.08,0.9031
Nagel,30,7,0,0,0.59,1.4914,0.08,0.9031
nagged,16,15,16,15,0.31,1.2304,0.18,1.2041
nagging,122,110,118,106,2.39,2.0899,1.31,2.0453
naggy,1,1,1,1,0.02,0.301,0.01,0.301
nags,19,16,17,15,0.37,1.301,0.19,1.2304
Nah,1433,960,165,74,28.1,3.1565,11.44,2.9827
Naiad,2,2,0,0,0.04,0.4771,0.02,0.4771
Naik,3,1,0,0,0.06,0.6021,0.01,0.301
nail,951,710,846,678,18.65,2.9786,8.46,2.8519
nailed,367,325,351,317,7.2,2.5658,3.87,2.5132
nailfile,4,3,4,3,0.08,0.699,0.04,0.6021
nailhead,2,1,2,1,0.04,0.4771,0.01,0.301
nailing,51,50,50,49,1,1.716,0.6,1.7076
nails,563,432,515,421,11.04,2.7513,5.15,2.6365
Naira,1,1,0,0,0.02,0.301,0.01,0.301
Nairobi,32,24,0,0,0.63,1.5185,0.29,1.3979
Naish,7,1,0,0,0.14,0.9031,0.01,0.301
naive,329,283,307,274,6.45,2.5185,3.37,2.4533
naively,2,2,2,2,0.04,0.4771,0.02,0.4771
naivete,5,5,4,4,0.1,0.7782,0.06,0.7782
naivety,1,1,1,1,0.02,0.301,0.01,0.301
Nak,2,1,0,0,0.04,0.4771,0.01,0.301
naked,2002,1217,1839,1162,39.25,3.3017,14.51,3.0856
nakedest,1,1,1,1,0.02,0.301,0.01,0.301
nakedly,4,4,4,4,0.08,0.699,0.05,0.699
nakedness,23,20,21,18,0.45,1.3802,0.24,1.3222
Nako,1,1,0,0,0.02,0.301,0.01,0.301
Nam,174,105,10,9,3.41,2.243,1.25,2.0253
Namaste,25,17,3,3,0.49,1.415,0.2,1.2553
namby,2,2,2,2,0.04,0.4771,0.02,0.4771
name,32735,7031,31694,6977,641.86,4.515,83.82,3.8471
named,3564,2359,3492,2327,69.88,3.5521,28.12,3.3729
nameless,72,53,54,46,1.41,1.8633,0.63,1.7324
Namely,53,40,26,21,1.04,1.7324,0.48,1.6128
nameplate,7,7,7,7,0.14,0.9031,0.08,0.9031
Nameplates,5,3,2,2,0.1,0.7782,0.04,0.6021
names,2746,1793,2667,1759,53.84,3.4389,21.38,3.2538
namesake,11,11,10,10,0.22,1.0792,0.13,1.0792
naming,109,101,101,93,2.14,2.0414,1.2,2.0086
Nan,106,30,3,3,2.08,2.0294,0.36,1.4914
Nana,202,68,52,18,3.96,2.3075,0.81,1.8388
nanas,1,1,1,1,0.02,0.301,0.01,0.301
Nance,37,14,3,2,0.73,1.5798,0.17,1.1761
nances,1,1,1,1,0.02,0.301,0.01,0.301
Nancy,1087,286,12,7,21.31,3.0366,3.41,2.4579
Nanga,3,1,0,0,0.06,0.6021,0.01,0.301
Nanking,5,4,0,0,0.1,0.7782,0.05,0.699
nannie,1,1,1,1,0.02,0.301,0.01,0.301
nannies,38,24,28,19,0.75,1.5911,0.29,1.3979
nanny,531,183,306,156,10.41,2.7259,2.18,2.2648
nanograms,3,3,3,3,0.06,0.6021,0.04,0.6021
nanoid,2,1,2,1,0.04,0.4771,0.01,0.301
nanosecond,7,7,7,7,0.14,0.9031,0.08,0.9031
nanoseconds,5,5,5,5,0.1,0.7782,0.06,0.7782
nanotechnology,7,6,7,6,0.14,0.9031,0.07,0.8451
Nants,4,2,0,0,0.08,0.699,0.02,0.4771
Nantz,1,1,0,0,0.02,0.301,0.01,0.301
Naomi,200,33,4,1,3.92,2.3032,0.39,1.5315
nap,645,487,626,481,12.65,2.8102,5.81,2.6884
Napa,49,26,1,1,0.96,1.699,0.31,1.4314
napalm,77,37,63,32,1.51,1.8921,0.44,1.5798
napalmed,6,6,6,6,0.12,0.8451,0.07,0.8451
napalming,2,1,2,1,0.04,0.4771,0.01,0.301
nape,12,11,12,11,0.24,1.1139,0.13,1.0792
Naphtha,7,4,3,3,0.14,0.9031,0.05,0.699
Napier,22,6,0,0,0.43,1.3617,0.07,0.8451
napkin,184,137,170,130,3.61,2.2672,1.63,2.1399
napkins,131,107,122,101,2.57,2.1206,1.28,2.0334
Naples,95,44,1,1,1.86,1.9823,0.52,1.6532
Napoleon,317,151,0,0,6.22,2.5024,1.8,2.1818
Napoleonic,14,6,0,0,0.27,1.1761,0.07,0.8451
Napoleons,4,3,0,0,0.08,0.699,0.04,0.6021
napoo,1,1,1,1,0.02,0.301,0.01,0.301
napped,5,5,5,5,0.1,0.7782,0.06,0.7782
napper,1,1,1,1,0.02,0.301,0.01,0.301
nappie,1,1,1,1,0.02,0.301,0.01,0.301
nappies,8,6,8,6,0.16,0.9542,0.07,0.8451
napping,64,50,61,48,1.25,1.8129,0.6,1.7076
nappy,40,23,26,18,0.78,1.6128,0.27,1.3802
naps,53,37,42,35,1.04,1.7324,0.44,1.5798
Napu,1,1,0,0,0.02,0.301,0.01,0.301
nar,5,4,3,2,0.1,0.7782,0.05,0.699
narc,74,43,67,40,1.45,1.8751,0.51,1.6435
narceine,1,1,1,1,0.02,0.301,0.01,0.301
narcissism,33,18,27,14,0.65,1.5315,0.21,1.2788
narcissist,26,24,23,21,0.51,1.4314,0.29,1.3979
narcissistic,32,30,26,25,0.63,1.5185,0.36,1.4914
narcissistically,1,1,1,1,0.02,0.301,0.01,0.301
narcissists,10,10,9,9,0.2,1.0414,0.12,1.0414
Narcissus,12,11,2,2,0.24,1.1139,0.13,1.0792
narco,16,13,9,8,0.31,1.2304,0.15,1.1461
narcolepsy,12,9,8,6,0.24,1.1139,0.11,1
narcoleptic,7,6,6,5,0.14,0.9031,0.07,0.8451
narcos,1,1,1,1,0.02,0.301,0.01,0.301
narcosis,5,4,3,3,0.1,0.7782,0.05,0.699
narcosynthesis,2,2,1,1,0.04,0.4771,0.02,0.4771
narcotic,44,38,42,37,0.86,1.6532,0.45,1.5911
narcotics,262,163,200,138,5.14,2.42,1.94,2.2148
narcotize,1,1,1,1,0.02,0.301,0.01,0.301
narcs,13,11,11,9,0.25,1.1461,0.13,1.0792
nard,1,1,1,1,0.02,0.301,0.01,0.301
Nards,2,1,0,0,0.04,0.4771,0.01,0.301
Nare,1,1,0,0,0.02,0.301,0.01,0.301
nark,3,3,3,3,0.06,0.6021,0.04,0.6021
narked,5,2,5,2,0.1,0.7782,0.02,0.4771
narking,1,1,1,1,0.02,0.301,0.01,0.301
Narky,1,1,0,0,0.02,0.301,0.01,0.301
narrate,12,11,12,11,0.24,1.1139,0.13,1.0792
narrated,24,7,24,7,0.47,1.3979,0.08,0.9031
narrating,15,11,12,9,0.29,1.2041,0.13,1.0792
narration,14,10,14,10,0.27,1.1761,0.12,1.0414
narrative,53,39,51,39,1.04,1.7324,0.46,1.6021
narratives,3,3,3,3,0.06,0.6021,0.04,0.6021
Narrator,529,164,113,70,10.37,2.7243,1.96,2.2175
narrators,1,1,1,1,0.02,0.301,0.01,0.301
narrow,358,309,334,291,7.02,2.5551,3.68,2.4914
narrowed,83,81,80,79,1.63,1.9243,0.97,1.9138
narrower,11,10,10,9,0.22,1.0792,0.12,1.0414
