"Username","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.JOL","Direction","Encoding","scored"
"m20320237","Ceiling","Control",NA,"Control","Global_JOL",1
"M20302792","Ceiling","Control",NA,"Control","Global_JOL",1
"M20330660_MLM","Ceiling","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20330660_MLM","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20337010","Cheetah","Presented",NA,"Related","Global_JOL",0
"M20321748","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20315108","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20301881_GM","Cheetah","Presented",NA,"Related","Global_JOL",1
"m20327174","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20308397","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20317351","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20322859","Cheetah","Presented",NA,"Related","Global_JOL",1
"20322939","Cheetah","Presented",NA,"Related","Global_JOL",1
"M10356731","Cheetah","Presented",NA,"Related","Global_JOL",1
"m20320237","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20326622","Cheetah","Presented",NA,"Related","Global_JOL",1
"20322965","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20295968","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20316174","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20321343!","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20302792","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20315390_JKL","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20326354_SNC.","Cheetah","Presented",NA,"Related","Global_JOL",1
"M20337010","Cherry","Control",NA,"Control","Global_JOL",1
"M20322859","Cherry","Control",NA,"Control","Global_JOL",1
"M20326354_SNC.","Cherry","Control",NA,"Control","Global_JOL",1
"M20302792","Cherry","Control",NA,"Control","Global_JOL",1
"M20316174","Cherry","Control",NA,"Control","Global_JOL",1
"20322965","Cherry","Control",NA,"Control","Global_JOL",1
"M20315108","Cherry","Control",NA,"Control","Global_JOL",1
"m20320237","Cherry","Control",NA,"Control","Global_JOL",1
"M20330660_MLM","Cherry","Control",NA,"Control","Global_JOL",1
"M20295968","Cherry","Control",NA,"Control","Global_JOL",1
"M20321748","Cherry","Control",NA,"Control","Global_JOL",1
"20322939","Cherry","Control",NA,"Control","Global_JOL",0
"M20321343!","Cherry","Control",NA,"Control","Global_JOL",1
"m20327174","Cherry","Control",NA,"Control","Global_JOL",1
"M20326622","Cherry","Control",NA,"Control","Global_JOL",1
"M10356731","Cherry","Control",NA,"Control","Global_JOL",1
"M20317351","Cherry","Control",NA,"Control","Global_JOL",1
"M20308397","Cherry","Control",NA,"Control","Global_JOL",1
"M20301881_GM","Cherry","Control",NA,"Control","Global_JOL",1
"M20315390_JKL","Cherry","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Cherry","Control",NA,"Control","Global_JOL",1
"20322965","Cloud","Control",NA,"Control","Global_JOL",1
"M20326354_SNC.","Cloud","Control",NA,"Control","Global_JOL",1
"M20302792","Cloud","Control",NA,"Control","Global_JOL",1
"M20301881_GM","Cloud","Control",NA,"Control","Global_JOL",0
"M20322859","Cloud","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Cloud","Control",NA,"Control","Global_JOL",1
"20322939","Cloud","Control",NA,"Control","Global_JOL",0
"M20308397","Cloud","Control",NA,"Control","Global_JOL",1
"M20330660_MLM","Cloud","Control",NA,"Control","Global_JOL",1
"M20295968","Cloud","Control",NA,"Control","Global_JOL",1
"M20315108","Cloud","Control",NA,"Control","Global_JOL",1
"M20317351","Cloud","Control",NA,"Control","Global_JOL",1
"M20315390_JKL","Cloud","Control",NA,"Control","Global_JOL",1
"m20320237","Cloud","Control",NA,"Control","Global_JOL",1
"m20327174","Cloud","Control",NA,"Control","Global_JOL",1
"M10356731","Cloud","Control",NA,"Control","Global_JOL",1
"M20321343!","Cloud","Control",NA,"Control","Global_JOL",1
"M20326622","Cloud","Control",NA,"Control","Global_JOL",0
"M20337010","Cloud","Control",NA,"Control","Global_JOL",0
"M20321748","Cloud","Control",NA,"Control","Global_JOL",1
"M20316174","Cloud","Control",NA,"Control","Global_JOL",0
"M20330660_MLM","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M10356731","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20295968","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20316174","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20322696_MNC","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20321343!","Cold","Presented",NA,"Unrelated","Global_JOL",0
"20322965","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20315108","Cold","Presented",NA,"Unrelated","Global_JOL",1
"20322939","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20308397","Cold","Presented",NA,"Unrelated","Global_JOL",0
"M20317351","Cold","Presented",NA,"Unrelated","Global_JOL",0
"m20327174","Cold","Presented",NA,"Unrelated","Global_JOL",0
"M20326354_SNC.","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20326622","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20322859","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20301881_GM","Cold","Presented",NA,"Unrelated","Global_JOL",0
"M20302792","Cold","Presented",NA,"Unrelated","Global_JOL",0
"M20337010","Cold","Presented",NA,"Unrelated","Global_JOL",1
"m20320237","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20315390_JKL","Cold","Presented",NA,"Unrelated","Global_JOL",0
"M20321748","Cold","Presented",NA,"Unrelated","Global_JOL",1
"M20322696_MNC","Computer","Presented",NA,"Unrelated","Global_JOL",1
"M20321343!","Computer","Presented",NA,"Unrelated","Global_JOL",0
"M20322859","Computer","Presented",NA,"Unrelated","Global_JOL",0
"M20337010","Computer","Presented",NA,"Unrelated","Global_JOL",1
"M10356731","Computer","Presented",NA,"Unrelated","Global_JOL",0
"20322939","Computer","Presented",NA,"Unrelated","Global_JOL",0
"M20321748","Computer","Presented",NA,"Unrelated","Global_JOL",1
"M20302792","Computer","Presented",NA,"Unrelated","Global_JOL",0
"M20326622","Computer","Presented",NA,"Unrelated","Global_JOL",0
"M20315390_JKL","Computer","Presented",NA,"Unrelated","Global_JOL",0
"M20317351","Computer","Presented",NA,"Unrelated","Global_JOL",1
"m20327174","Computer","Presented",NA,"Unrelated","Global_JOL",1
"M20330660_MLM","Computer","Presented",NA,"Unrelated","Global_JOL",1
"M20295968","Computer","Presented",NA,"Unrelated","Global_JOL",1
"M20308397","Computer","Presented",NA,"Unrelated","Global_JOL",1
"M20316174","Computer","Presented",NA,"Unrelated","Global_JOL",1
"M20315108","Computer","Presented",NA,"Unrelated","Global_JOL",0
"M20301881_GM","Computer","Presented",NA,"Unrelated","Global_JOL",0
